class,feature029,feature046,feature060,feature062,feature064,feature065,feature066,feature068,feature097,feature104,feature125,feature170,feature268,feature332,feature342,feature442,feature511,feature563
X0,75.2444,125.7618,1.8164,10.6967,17.4727,18.1836,25.4759,1.1057,-0.1776,-0.0089,15.66,0.522,0.0733,0.0685,2.9049,0.9726,46.0028,264.272
X0,72.9778,143.7882,0.2055,10.2887,7.1904,19.7945,23.4023,0.9216,0.041,-0.0101,15.68,0.158,0.0599,0.1051,1.3739,0.9175,39.604,266.572
X0,66.7333,125.1391,2.9373,10.7411,21.89,17.0627,24.2706,1.1253,-0.2952,-0.0102,15.65,0.222,0.0571,0.0263,1.9345,0.9916,42.0538,264.272
X0,68.3889,142.9436,-1.0482,10.2926,11.9482,21.0482,27.6136,1.0331,0.2701,-0.013,15.91,0.105,0.039,0.0806,2.8966,0.6987,43.8462,263.776
X0,68.5556,128.8464,2.6873,10.6495,15.4246,17.3127,21.6739,1.0023,-0.3197,-0.0149,15.83,0.614,0.034,0.0263,1.6555,1.1248,48.4441,264.156
X0,67.6889,132.5409,-0.4682,10.6624,10.6973,20.4682,20.2022,0.9438,0.333,-0.012,15.77,0.767,0.0993,0.0381,2.0709,0.4817,36.6667,250.966
X0,72.3889,140.7364,-3.4291,10.3421,14.2627,23.4291,30.4749,0.8161,0.077,-0.0125,15.73,0.25,0.0777,0.1043,1.5879,0.6179,31.8725,264.272
X0,69.0222,135.3318,0.9091,10.4139,5.1158,19.0909,20.5351,1.4874,-0.1862,-0.0073,15.69,0.158,0.0461,0.1019,1.7173,0.9251,54.7009,264.272
X0,68.0333,129.7482,-6.9155,10.8767,19.5391,26.9155,34.5361,0.9592,0.2437,-0.0062,16.01,0.301,0.0236,0.0768,1.0309,1.2364,48.0962,259.91
X0,63.2556,139.9045,9.6745,10.7876,24.4318,30.3255,39.7935,1.016,-0.0925,-0.0014,15.8,0.421,0.0993,0.0786,2.632,1.0551,122.7273,263.3
X0,68.3111,130.1418,6.8491,10.4666,7.6141,13.1509,13.5705,1.4373,-0.122,-0.0134,15.82,0.386,0.1578,0.0901,2.3464,0.5374,21.6822,268.032
X0,70.2,149.1491,-5.3355,10.0312,13.3228,25.3355,32.4414,1.1709,-0.2762,-0.0093,15.75,0.392,0.0679,0.0254,2.7721,1.1525,74.3935,267.316
X0,70.0556,142.3436,-1.4345,10.3,19.181,21.4345,30.0664,1.1383,-0.0523,-0.0127,15.88,0.478,0.0935,0.0778,2.4369,1.2471,31.4342,264.272
X0,70.4111,149.22,-1.93,9.7777,13.3573,21.93,29.6185,0.9049,-0.4105,-0.0142,15.95,0.134,0.0357,0.0855,2.0296,0.9193,39.3327,250.438
X0,67.6111,133.7155,0.5091,10.3997,13.7382,19.4909,23.1579,0.957,0.151,-0.01,15.75,0.239,0.044,0.0909,3.7266,0.8752,49.9376,264.45
X0,68.5556,141.9573,-5.8564,10.326,16.0836,25.8564,33.7075,0.9272,0.0793,-0.0039,15.7,0.594,0.0564,0.1043,2.6277,0.7719,20.7885,264.272
X0,67.2778,146.4927,-0.8736,10.2283,15.46,20.8736,28.9348,1.0828,-0.0947,-0.0108,15.75,0.356,0.1077,0.0819,2.2654,0.577,35.1852,248.322
X0,68.2667,144.1,-5.7373,10.3959,17.0755,25.7373,34.4785,0.9335,-0.1997,-0.0114,15.71,0.639,0.0546,0.0336,2.5506,0.3512,44.8845,264.272
X0,68.0556,142.7236,-0.9618,10.4077,16.9445,20.9618,29.4926,0.8357,0.1367,-0.0059,16.04,0.161,0.0627,0.0623,3.7531,1.1255,70.7368,263.496
X0,68.7667,136.1891,2.6218,10.4946,9.7209,17.3782,22.6667,0.8518,-0.0484,-0.0101,15.9,0.224,0.0449,0.0652,2.622,0.9735,61.3861,272.5
X0,72.8222,119.7282,27.4627,10.6245,10.4509,12.5373,17.8135,1.1733,-0.0157,-0.01,15.88,0.175,0.0608,0.0942,2.0858,0.596,36.8618,265.122
X0,65.8333,138.93,-17.9336,10.9705,29.0909,28.6982,39.8602,0.8568,-0.1614,-0.0045,15.78,0.096,0.0921,0.0871,1.8287,0.7574,103.8674,260.87
X0,71.4111,132.3936,-0.4482,10.6274,15.1218,20.4482,28.0456,0.9389,0.4349,-0.0062,15.98,0.3,0.0291,0.0764,3.5193,0.5836,107.0994,264.272
X0,68.8556,142.6964,-3.7773,10.2078,11.1,23.7773,31.5768,0.905,0.0372,-0.0112,15.61,0.579,0.1259,0.0863,1.0067,0.932,56.25,264.272
X0,66.2111,132.2891,4.0736,10.3939,8.7378,15.9264,17.8882,1.4054,-0.1805,-0.013,15.58,0.546,0.119,0.1011,2.181,0.4817,33.7812,249.892
X0,75.9111,117.3973,5.4964,11.1027,19.3264,14.5036,20.0429,0.9776,-0.2492,-0.0073,15.63,0.543,0.1,0.0401,2.7975,0.8133,53.6082,264.272
X0,66.5,140.8218,-0.66,10.4567,13.8445,20.66,26.0425,1.0678,-0.1462,-0.008,15.77,0.613,0.0446,0.0806,2.5426,0.7643,63.8498,247.6
X0,70.0444,147.3064,-5.4145,10.0467,14.8328,25.4145,33.6765,0.8759,-0.1459,-0.0087,15.98,0.509,0.0322,0.0324,3.6408,0.573,72.3099,264.272
X0,72.9778,143.7882,0.2055,10.2887,7.1904,19.7945,23.4023,0.9216,0.041,-0.0101,15.68,0.158,0.0599,0.1051,1.3739,0.9175,39.604,266.572
X0,67.7444,129.9982,-0.4455,10.618,24.8391,20.4455,28.0135,1.029,0.1859,-0.008,15.8,0.187,0.044,0.0849,1.895,0.768,67.2897,263.144
X0,73.0556,127.0382,4.3955,10.6295,14.8582,17.271,19.6185,1.0174,0.1058,-0.0129,15.77,0.395,0.0993,0.1068,1.4828,0.7677,29.4288,264.272
X0,64.6556,127.6155,23.7136,10.3822,8.01,16.2864,21.8375,1.1316,-0.0472,-0.0057,15.76,0.155,0.0625,0.0776,3.5884,0.8735,68.5714,264.272
X0,68.2,126.8355,6.2045,10.3977,11.4436,13.7955,21.3495,0.9854,0.4672,-0.003,15.8,0.528,0.0784,0.0765,5.0813,1.0918,136.0996,267.56
X0,72.4333,125.5727,1.4418,10.7179,13.22,18.5582,25.1014,0.9181,-0.0815,-0.0144,15.75,0.509,0.0779,0.161,2.0476,1.0359,24.2845,251.438
X0,73.1111,128.4591,26.9709,10.0891,22.5675,16.775,22.4441,2.1231,-0.0654,-0.0101,15.56,0.574,0.0852,0.036,9.3909,0.7516,29.5931,263.174
X0,69.0111,130.3527,-1.2182,10.691,11.6881,21.2182,26.3771,1.0496,0.2737,-0.0064,15.87,0.078,0.0668,0.0938,2.36,0.7477,54.3689,267.428
X0,75.9111,117.3973,5.4964,11.1027,19.3264,14.5036,20.0429,0.9776,-0.2492,-0.0073,15.63,0.543,0.1,0.0401,2.7975,0.8133,53.6082,264.272
X0,71.5111,140.1709,0.5764,10.357,11.8327,19.4236,26.0255,1.0277,0.104,-0.0095,15.81,0.518,0.0814,0.09,1.7107,0.8705,46.5608,266.71
X0,69.5444,128.3836,3.8264,10.5781,13.4554,16.1736,22.997,0.9543,0.1038,-0.0115,15.78,0.429,0.0324,0.0924,3.0328,1.1255,27.8867,265.922
X0,72.4333,140.4173,-4.8382,10.3761,9.1158,24.8382,30.1944,0.9036,-0.0265,-0.0092,15.71,0.424,0.0894,0.0939,2.3221,1.0765,26.1937,275.116
X0,71.5222,141.2018,-2.2409,10.3798,6.9811,22.2409,27.5514,0.8835,-0.1688,-0.0127,15.71,0.32,0.0665,0.0807,2.1802,0.6179,27.4779,254.818
X0,74.4778,124.5655,4.6209,10.6159,13.3146,15.3791,19.4357,1.1135,-0.044,-0.01,15.54,0.651,0.0917,0.0615,2.7722,0.8231,70.2635,259.566
X0,67.5333,123.9582,3.1382,10.7514,12.9264,16.8618,21.725,1.0773,0,-0.0086,15.66,0.436,0.0733,0.0621,3.1969,0.5284,44.1219,261.888
X0,61.8333,157.35,3.9055,9.9616,18.7055,34.6618,45.7731,1.0213,0,-0.0068,15.68,0.424,0.0586,0.0224,2.822,0.6901,61.7647,263.176
X0,69.9889,141.8873,-3.9436,10.3407,18.7391,23.9436,31.9933,1.0259,0.0277,-0.0109,15.99,0.445,0.0305,0.0848,3.0744,0.5377,49.6552,264.666
X0,75.0889,133.0409,5.6155,10.4219,6.4102,14.3845,14.8409,1.5244,-0.1073,-0.0101,15.73,0.286,0.044,0.086,2.258,0.713,51.358,264.958
X0,66.9333,140.4445,4.0427,10.167,12.3891,15.9573,23.229,1.0437,0.2737,-0.0093,15.96,0.311,0.0343,0.0775,2.9031,0.7643,69.7051,265.996
X0,68.3444,143.0255,9.4982,10.4951,23.9927,30.5018,40.6543,1.0271,-0.1149,-0.0045,15.79,0.388,0.1079,0.0952,2.0918,0.7808,61.5385,258.496
X0,66.9333,131.9727,17.6864,10.7172,17.3827,22.3136,27.4474,1.0582,0.1295,-0.0047,15.74,0.419,0.0746,0.0779,2.8058,1.0644,113.0667,264.272
X0,65.3556,142.9055,-12.1373,10.6289,25.3682,32.1373,41.9354,1.0349,-0.0819,-0.0061,15.73,0.247,0.1069,0.0938,1.5655,0.7574,63.8037,261.04
X0,67.5667,136.6745,-2.5436,10.483,14.15,22.5436,29.6277,0.9096,0.2056,-0.0131,15.71,0.454,0.0894,0.0814,1.9966,0.4817,45.8015,267.884
X0,67.2333,132.3464,-2.5036,10.8915,16.6836,22.5036,28.2316,0.9361,-0.1691,-0.0115,15.73,0.356,0.1064,0.0373,2.3285,1.0186,61.7391,264.272
X0,72.1556,126.0527,3.3573,10.9242,9.0228,16.6427,21.6069,0.954,-0.0575,-0.0099,15.56,0.652,0.0838,0.0315,3.3203,0.8452,62.9442,275.728
X0,73.8778,137.4336,2.6036,10.5063,15.0191,17.3964,23.8576,1.0738,0.1022,-0.009,15.75,0.312,0.0605,0.0381,1.9875,0.9143,30.9392,264.272
X0,68.2222,144.1418,0.5755,10.2777,10.8896,19.4245,25.0179,1.0268,0.1281,-0.0126,15.9,0.126,0.0384,0.0806,3.2246,0.6987,31.8408,264.106
X0,71.4667,125.5145,6.1882,10.6041,13.53,13.8118,20.6151,1.0908,0.0472,-0.0108,15.79,0.542,0.0987,0.0871,3.0808,0.8705,53.7659,268.338
X0,72.3444,136.9627,-0.7245,10.3189,6.8847,20.7245,25.9809,1.0888,-0.1062,-0.0137,15.74,0.68,0.1107,0.0841,2.3162,1.0541,26.2056,267.526
X0,63.9778,132.5064,16.8445,10.5723,17.9019,23.1555,31.7791,0.8042,0.1045,-0.0107,15.89,0.121,0.0732,0.1013,3.9848,0.7747,57.9439,264.772
X0,70.9778,146.7491,-6.6464,10.2392,15.2391,26.6464,34.2167,0.8904,-0.3848,-0.009,15.96,0.781,0.0273,0.1037,1.9195,0.573,42.2222,269.226
X0,65.1333,147.8555,0.2818,9.7625,11.4596,19.7182,26.9505,0.9275,0.1293,-0.01,15.77,0.448,0.0377,0.0852,1.995,0.5888,49.2462,262.98
X0,73.5222,132.2127,3.1373,10.531,12.9164,16.8627,23.4301,0.9176,-0.2187,-0.0085,15.77,0.92,0.1195,0.0851,2.3534,0.8076,43.6578,264.272
X0,66.2778,142.0764,14.4382,10.4473,15.9709,25.5618,32.4142,0.9949,0.1484,-0.0091,15.9,0.196,0.0792,0.0257,3.9876,1.0047,73.5254,267.928
X0,68.6556,132.9482,1.2673,10.557,17.2427,18.7327,25.3075,1.0703,-0.3959,-0.0062,15.85,0.181,0.0887,0.1012,1.4307,0.7642,37.0221,269.128
X0,73.1444,128.8982,2.9691,10.8347,18.8782,17.0309,24.1042,0.9397,0.0942,-0.0103,15.67,0.529,0.0856,0.0312,1.4025,0.9066,36.715,264.272
X0,70.5111,147.0536,0.9027,9.8508,9.76,19.0973,27.1184,0.9362,0.0035,-0.0097,15.77,0.282,0.1283,0.09,1.7144,0.7532,50.2564,263.5
X0,70.0778,134.0473,0.8873,10.3899,11.9155,19.1127,24.7257,0.8556,0.1866,-0.005,15.88,0.122,0.0608,0.1003,1.7009,0.9251,60.3015,264.272
X0,67.6444,134.5855,0.1227,10.429,9.2136,19.8773,25.02,1.118,-0.0718,-0.0093,15.85,0.172,0.0645,0.0998,2.7719,0.7928,51.4745,250.776
X0,65.1,146.47,-3.8982,10.4105,19.4473,23.8982,32.3627,0.8903,-0.0134,-0.0111,15.85,0.201,0.0262,0.0643,1.7504,0.5888,35.2542,264.272
X0,69.3778,138.3745,-0.0236,10.2716,8.5647,20.0236,23.7345,0.899,0.1483,-0.0129,15.73,0.543,0.1064,0.0839,2.3292,1.0186,27.1055,254.864
X0,74.0111,138.0036,-1.0545,10.3719,13.4346,21.0545,32.1132,1.1989,-0.014,-0.0108,15.7,0.44,0.0609,0.0684,3.9688,1.1623000000000001,23.0415,264.272
X0,67.0556,129.45,4.4455,10.4475,14.7982,15.5545,21.9164,1.0287,0.1526,-0.0096,15.74,0.149,0.0307,0.0263,2.082,1.1248,66.8407,253.164
X0,61.7444,125.6173,24.4727,10.4092,3.3254,15.5273,19.7605,1.2755,-0.0388,-0.005,15.76,0.166,0.0625,0.0529,2.3407,0.4221,100.7557,264.272
X0,72.8444,151.0709,-3.3555,10.1602,13.2491,23.3555,31.4027,0.4904,-0.0821,-0.0116,15.87,0.081,0.112,0.0782,2.9633,0.7392,29.4372,266.832
X0,69.6778,140.5682,-3.2882,10.2753,13.7772,23.2882,29.7411,0.8564,0.0555,-0.0105,15.7,0.427,0.0564,0.1017,2.2065,1.0959,59.9287,264.272
X0,67.4667,130.0891,-1.1727,10.9193,13.3136,21.1727,26.7245,0.9616,0.1253,-0.0114,15.77,0.599,0.0993,0.0339,2.2329,0.8263,64.8412,251.434
X0,73.2778,126.2809,2.3855,10.6795,16.7036,17.6145,22.5295,1.1085,0.2458,-0.0096,15.66,0.456,0.0733,0.0751,3.0594,0.9726,72.0627,258.612
X0,66.2778,140.5264,1.5127,10.2854,11.6015,18.4873,23.5326,0.8869,-0.1782,-0.0096,15.97,0.108,0.0415,0.0817,3.8356,1.0189,40.4669,265.548
X0,69.7667,137.66,-4.9891,10.4504,9.667,24.9891,29.6501,0.8895,-0.1031,-0.0137,15.75,0.446,0.0605,0.1112,1.0902,0.6927,43.7557,268.856
X0,71.3556,149.7782,-1.71,9.6327,14.1382,21.71,29.1971,0.8932,0.2003,-0.0091,15.93,0.112,0.0476,0.0855,2.9031,0.9079,38.4088,260.078
X0,74.8556,135.7655,4.5382,10.5354,6.6955,15.4618,17.2615,1.4964,0.2696,-0.0147,15.66,0.355,0.0922,0.0342,2.0957,0.9489,20.4255,264.272
X0,65.4444,130.3482,-7.9627,10.7698,14.8954,27.9627,30.2755,1.418,-0.1126,-0.0057,15.8,0.175,0.072,0.0801,1.6547,0.8384,124.5614,264.272
X0,69.2,142.4791,-2.3391,10.0977,13.5051,22.3391,29.1587,0.7827,0.0659,-0.01,15.88,0.544,0.0341,0.0868,2.0532,0.8231,73.0924,271.98
X0,70.8444,145.9745,-3.5727,10.3797,10.8718,23.5727,30.7204,0.9059,-0.288,-0.0082,16.01,0.916,0.0349,0.0326,2.8456,0.7534,62.006100000000004,271.574
X0,70.5667,125.9445,4.4155,10.59,9.0382,15.5845,19.0935,1.1258,0.2444,-0.0081,15.77,0.141,0.0845,0.0998,2.1175,0.8345,30.6748,248.082
X0,72.6556,139.7964,-2.6591,10.5299,19.61,22.6591,33.3483,0.7319,-0.4335,-0.009,15.56,0.686,0.0852,0.0272,2.5827,1.0918,43.2133,264.272
X0,67.7778,126.7427,7.71,10.6655,4.8598,12.29,13.2099,1.4518,-0.0834,-0.0114,15.73,0.459,0.0461,0.0318,1.9256,0.4443,29.7268,264.272
X0,70.0111,133.3809,1.0309,10.4521,11.6591,18.9691,21.9517,1.1766,-0.3103,-0.0127,15.77,0.424,0.0711,0.0892,2.5025,0.7159,40.1575,261.094
X0,67.9111,143.3618,-0.8891,10.2897,9.5504,20.8891,26.9872,0.9698,0.3139,-0.0129,15.87,0.436,0.0668,0.027,2.8564,0.7445,44.9612,246.874
X0,70.8222,142.0264,-1.4409,10.2851,6.8242,21.4409,26.4617,0.8549,0.0057,-0.012,15.71,0.19,0.0665,0.0939,1.0445,0.9143,44.3051,272.23
X0,67.3556,130.55,3.1191,10.4101,15.0145,16.8809,24.0994,0.8723,-0.0788,-0.0122,15.77,0.376,0.0377,0.0915,2.1044,0.9729,49.8468,248.496
X0,76.3,141.5373,-3.2436,10.5591,18.2436,23.2436,31.0876,0.8921,0.0251,-0.0099,15.74,0.509,0.0404,0.0306,2.5816,0.5858,30.2267,258.072
X0,73.4778,129.1882,2.2336,10.6156,12.5904,17.7664,20.5025,1.5049,0,-0.0098,15.92,0.483,0.1102,0.0834,1.7875,0.7093,49.8094,266.004
X0,73.9,130.8427,2.5055,10.7566,17.6454,17.4945,24.0673,0.926,-0.034,-0.0077,16.01,0.479,0.0349,0.034,2.8866,0.9276,29.6774,264.272
X0,68.0778,139.1727,-4.2364,10.3206,11.0454,24.2364,32.176,1.0943,0.3361,-0.013,15.82,0.482,0.1213,0.1065,1.5767,0.7159,32.9502,268.498
X0,65.2778,133.99,-2.3891,10.5397,13.3819,22.3891,25.6619,1.2565,-0.0112,-0.0114,15.65,0.247,0.0583,0.084,2.4574,0.6332,45.6641,264.272
X0,66.6889,115.2955,26.8609,10.9013,9.9963,13.1391,16.6703,1.1084,0.1377,-0.0098,15.79,0.559,0.0787,0.1007,2.8191,0.7408,43.7659,264.13
X0,73.1222,140.1255,2.7927,10.3662,9.7528,17.2073,21.2465,1.4075,0.1327,-0.0091,15.87,0.566,0.0216,0.0911,1.8276,0.7233,56.044,253.314
X0,66.9222,158.9564,-5.6018,9.9566,13.4373,25.6018,33.4591,1.0015,-0.0211,-0.0026,15.73,0.441,0.0862,0.0969,2.7318,1.1638,44.8598,268.462
X0,69.9333,126.18,0.3764,10.7052,14.6145,19.6236,24.847,1.0203,-0.0903,-0.0052,15.8,0.359,0.0993,0.0529,1.4101,1.148,69.0647,243.316
X0,66.2889,139.1882,-2.1464,10.2937,12.6991,22.1464,30.0519,0.9311,0.2434,-0.0137,15.79,0.618,0.0264,0.0863,1.1709,0.932,33.5766,264.272
X0,71.9778,119.8391,26.9136,10.5979,9.858,13.0864,17.965,1.1617,0.2489,-0.0089,15.75,0.127,0.0818,0.0942,2.5275,0.7507,70.4895,268.766
X0,68.4333,140.4145,26.6527,10.1048,7.3818,13.3473,20.6385,1.0508,-0.2879,-0.0059,15.7,0.288,0.0874,0.0786,3.5631,0.8446,79.661,262.826
